id,county,locality,agency,km
1,Alba,Abrud,Alba Iulia,70
2,Alba,Abrud-Sat,Alba Iulia,70
3,Alba,Achimetesti,Alba Iulia,110
4,Alba,Acmariu,Sebes,20
5,Alba,Aiud,Alba Iulia,0
6,Alba,Aiudul de Sus,Alba Iulia,0
7,Alba,Alba Iulia,Alba Iulia,0
8,Alba,Albac,Alba Iulia,100
9,Alba,Alecus,Tarnaveni,55
10,Alba,Almasu de Mijloc,Alba Iulia,60
11,Alba,Almasu Mare,Alba Iulia,60
12,Alba,Ampoita,Alba Iulia,0
13,Alba,Anghelesti,Alba Iulia,62
14,Alba,Arieseni,Alba Iulia,122
15,Alba,Aronesti,Alba Iulia,91
16,Alba,Arti,Sebes,35
17,Alba,Asinip,Alba Iulia,45
18,Alba,Avram Iancu,Alba Iulia,110
19,Alba,Avramesti (Arieseni),Alba Iulia,130
20,Alba,Avramesti (Avram Iancu),Alba Iulia,110
21,Alba,Baba,Alba Iulia,105
22,Alba,Bacainti,Sebes,70
23,Alba,Badai,Alba Iulia,110
24,Alba,Bagau,Alba Iulia,45
25,Alba,Bai,Alba Iulia,97
26,Alba,Baia de Aries,Alba Iulia,100
27,Alba,Balcaciu,Tarnaveni,30
28,Alba,Balesti,Alba Iulia,85
29,Alba,Balesti-Catun,Alba Iulia,85
30,Alba,Balmosesti,Alba Iulia,77
31,Alba,BALOMIRU DE CAMP,Sebes,20
32,Alba,Barabant,Alba Iulia,0
33,Alba,Barasti,Alba Iulia,120
34,Alba,Barbesti,Alba Iulia,62
35,Alba,Bardesti,Alba Iulia,99
36,Alba,Barlesti (Bistra),Alba Iulia,85
37,Alba,Barlesti (Mogos),Alba Iulia,95
38,Alba,Barlesti (Scarisoara),Alba Iulia,110
39,Alba,Barlesti-Catun,Alba Iulia,65
40,Alba,Barsana,Sebes,34
41,Alba,Barzan,Alba Iulia,96
42,Alba,Barzogani,Alba Iulia,85
43,Alba,Bazesti,Alba Iulia,77
44,Alba,Beldiu,Alba Iulia,0
45,Alba,Benic,Alba Iulia,30
46,Alba,Berghin,Alba Iulia,0
47,Alba,Beta,Alba Iulia,50
48,Alba,Bidigesti,Alba Iulia,71
49,Alba,Biharia,Alba Iulia,120
50,Alba,Biia,Tarnaveni,35
51,Alba,Bilanesti,Alba Iulia,80
52,Alba,Bisericani,Alba Iulia,73
53,Alba,Bistra,Alba Iulia,85
54,Alba,Blaj,Alba Iulia,0
55,Alba,Blandiana,Sebes,20
56,Alba,Blidesti,Alba Iulia,80
57,Alba,Bobaresti (Sohodol),Alba Iulia,80
58,Alba,Bobaresti (Vidra),Alba Iulia,110
59,Alba,Bocesti,Alba Iulia,64
60,Alba,Bocsitura,Sebes,44
61,Alba,Bodesti,Alba Iulia,90
62,Alba,Bodresti,Alba Iulia,108
